エリア,発電事業者,発電所コード,発電所名,発電形式,ユニット名,認可出力,認可出力（変更後）,適用開始日,稼働開始日,稼働終了日,最終更新日時
九州,九州電力株式会社,97061,苓北発電所,火力（石炭）,２号機,700000,,,1900/1/1,9999/12/31,2016/4/12 15:06
九州,九州電力株式会社,97061,苓北発電所,火力（石炭）,１号機,700000,,,1900/1/1,9999/12/31,2016/4/12 15:04
九州,九州電力株式会社,98037,小丸川発電所,水力,４号機,300000,,,1900/1/1,9999/12/31,2016/4/12 14:42
九州,九州電力株式会社,98037,小丸川発電所,水力,３号機,300000,,,1900/1/1,9999/12/31,2016/4/12 14:41
九州,九州電力株式会社,98037,小丸川発電所,水力,２号機,300000,,,1900/1/1,9999/12/31,2016/4/12 14:39
九州,九州電力株式会社,98037,小丸川発電所,水力,１号機,300000,,,1900/1/1,9999/12/31,2016/4/12 14:39
九州,九州電力株式会社,95012,天山発電所,水力,２号機,300000,,,1900/1/1,9999/12/31,2016/4/12 14:38
九州,九州電力株式会社,95012,天山発電所,水力,１号機,300000,,,1900/1/1,9999/12/31,2016/4/12 14:36
九州,九州電力株式会社,97015,大平発電所,水力,２号機,250000,,,1900/1/1,9999/12/31,2016/4/12 14:35
九州,九州電力株式会社,97015,大平発電所,水力,１号機,250000,,,1900/1/1,9999/12/31,2016/4/12 14:35
九州,電源開発,950AB,電源開発松浦火力発電所,火力（石炭）,2号機,1000000,,,1900/1/1,9999/12/31,2016/4/12 11:30
九州,電源開発,950AB,電源開発松浦火力発電所,火力（石炭）,1号機,1000000,,,1900/1/1,9999/12/31,2016/4/12 11:22
九州,電源開発,950AA,電源開発松島火力発電所,火力（石炭）,2号機,500000,,,1900/1/1,9999/12/31,2016/4/12 11:15
